dtEventTime,gametype,winCamp,gametime,killcnt,deadcnt,assistcnt,gameresult,mvpcnt,losemvp,heroId,AcntCamp,teamNum,mapName,detailUrl,rampage,gameSvrId,relaySvrId,gameSeq,pvpType,multiCampRank,battleType,branchEvaluate,oldMasterMatchScore,newMasterMatchScore,battleRoyaleEvaluate,hero1TripleKillCnt,hero1UltraKillCnt,hero1RampageCnt,sixKill,sevenKill,usedTime,godLikeCnt,firstBlood,pveRateLvl,playerRank,winNum,failNum,roleJob,roleJobName,stars,desc,analyseUrl,battleDetailUrl,evaluateUrl,heroIcon,chessIds,evaluateUrlV2,mvpUrlV2,supportPro,battleTypeDesc,bgImg,userId,stickyEvaluateUrl,runawayUrl,hero1Kill6Cnt,hero1Kill7Cnt,hero1Kill8Cnt,hero1Kill9Cnt,hero1Kill10Cnt,gradeGame
1739257867,4,2,2025/2/11 14:58,6,10,8,1,0,0,183,2,1,排位赛,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=157826&relaySvrId=1933599504&gameseq=1739256934&pvptype=5,0,157826,1933599504,1739256934,5,1,16,0,1200,1200,0,0,0,0,0,0,764,0,0,0,0,0,0,16,荣耀王者,54,,https://camp.qq.com/h5/webdist/team-analyzev2.html?sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&gameseq=1739256934&relaysvrentity=1933599504&playerid=1140354248&roleName=elo！躺赢&uniqueRoleId=126973517&roleId=1140354248,smobagamehelper://hippy?modulename=battledetail&toServerId=1086&toAreaId=1&toAppRoleId=126973517&toGameRoleId=1140354248&gameSvrId=157826&relaySvrId=1933599504&gameSeq=1739256934&pvpType=5&acntCamp=2&battleType=16,,https://game-1255653016.file.myqcloud.com/manage/custom_wzry_skin_128x128/38ef965b650a7d05b792662d16c02e5b.png,,,,31,,,0,,,0,0,0,0,0,7.3
1739207871,4,1,2025/2/11 1:07,3,11,4,1,0,0,183,1,5,排位赛 五排,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=203809&relaySvrId=838886161&gameseq=1739207047&pvptype=5,0,203809,838886161,1739207047,5,1,15,0,1200,1200,0,0,0,0,0,0,633,0,0,0,0,0,0,16,荣耀王者,53,,https://camp.qq.com/h5/webdist/team-analyzev2.html?sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&gameseq=1739207047&relaysvrentity=838886161&playerid=1140354248&roleName=elo！躺赢&uniqueRoleId=126973517&roleId=1140354248,smobagamehelper://hippy?modulename=battledetail&toServerId=1086&toAreaId=1&toAppRoleId=126973517&toGameRoleId=1140354248&gameSvrId=203809&relaySvrId=838886161&gameSeq=1739207047&pvpType=5&acntCamp=1&battleType=15,,https://game-1255653016.file.myqcloud.com/manage/custom_wzry_skin_128x128/38ef965b650a7d05b792662d16c02e5b.png,,,,31,,,0,,,0,0,0,0,0,6.5
1739207009,4,2,2025/2/11 0:45,3,10,5,1,0,0,183,2,5,排位赛 五排,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=163451&relaySvrId=438321952&gameseq=1739205715&pvptype=5,0,163451,438321952,1739205715,5,1,15,0,1200,1200,0,0,0,0,0,0,1100,0,0,0,0,0,0,16,荣耀王者,52,,https://camp.qq.com/h5/webdist/team-analyzev2.html?sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&gameseq=1739205715&relaysvrentity=438321952&playerid=1140354248&roleName=elo！躺赢&uniqueRoleId=126973517&roleId=1140354248,smobagamehelper://hippy?modulename=battledetail&toServerId=1086&toAreaId=1&toAppRoleId=126973517&toGameRoleId=1140354248&gameSvrId=163451&relaySvrId=438321952&gameSeq=1739205715&pvpType=5&acntCamp=2&battleType=15,,https://game-1255653016.file.myqcloud.com/manage/custom_wzry_skin_128x128/38ef965b650a7d05b792662d16c02e5b.png,,,,31,,,0,,,0,0,0,0,0,6.4
1739195675,4,2,2025/2/10 21:42,7,9,6,1,0,0,183,2,2,排位赛 双排,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=202893&relaySvrId=1814061841&gameseq=1739194733&pvptype=5,0,202893,1814061841,1739194733,5,1,12,0,1200,1200,0,0,0,0,0,0,753,0,1,0,0,0,0,16,荣耀王者,51,,https://camp.qq.com/h5/webdist/team-analyzev2.html?sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&gameseq=1739194733&relaysvrentity=1814061841&playerid=1140354248&roleName=elo！躺赢&uniqueRoleId=126973517&roleId=1140354248,smobagamehelper://hippy?modulename=battledetail&toServerId=1086&toAreaId=1&toAppRoleId=126973517&toGameRoleId=1140354248&gameSvrId=202893&relaySvrId=1814061841&gameSeq=1739194733&pvpType=5&acntCamp=2&battleType=12,,https://game-1255653016.file.myqcloud.com/manage/custom_wzry_skin_128x128/38ef965b650a7d05b792662d16c02e5b.png,,,,31,,,0,,,0,0,0,0,0,8.9
1739194626,4,2,2025/2/10 21:16,5,15,10,1,0,0,183,2,2,排位赛 双排,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=175910&relaySvrId=1310753552&gameseq=1739193222&pvptype=5,0,175910,1310753552,1739193222,5,1,12,0,1200,1200,0,0,0,0,0,0,1241,0,0,0,0,0,0,16,荣耀王者,50,躺赢局,https://camp.qq.com/h5/webdist/team-analyzev2.html?sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&gameseq=1739193222&relaysvrentity=1310753552&playerid=1140354248&roleName=elo！躺赢&uniqueRoleId=126973517&roleId=1140354248,smobagamehelper://hippy?modulename=battledetail&toServerId=1086&toAreaId=1&toAppRoleId=126973517&toGameRoleId=1140354248&gameSvrId=175910&relaySvrId=1310753552&gameSeq=1739193222&pvpType=5&acntCamp=2&battleType=12,,https://game-1255653016.file.myqcloud.com/manage/custom_wzry_skin_128x128/38ef965b650a7d05b792662d16c02e5b.png,,,,31,,,0,,,0,0,0,0,0,6.3
1739013284,4,1,2025/2/8 18:58,4,8,3,2,0,0,183,2,3,排位赛 三排,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=192769&relaySvrId=1296065297&gameseq=1739012157&pvptype=5,0,192769,1296065297,1739012157,5,2,13,0,1200,1200,0,0,0,0,0,0,966,0,0,0,0,0,0,16,荣耀王者,49,,https://camp.qq.com/h5/webdist/team-analyzev2.html?sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&gameseq=1739012157&relaysvrentity=1296065297&playerid=1140354248&roleName=elo！躺赢&uniqueRoleId=126973517&roleId=1140354248,smobagamehelper://hippy?modulename=battledetail&toServerId=1086&toAreaId=1&toAppRoleId=126973517&toGameRoleId=1140354248&gameSvrId=192769&relaySvrId=1296065297&gameSeq=1739012157&pvpType=5&acntCamp=2&battleType=13,,https://game-1255653016.file.myqcloud.com/manage/custom_wzry_skin_128x128/38ef965b650a7d05b792662d16c02e5b.png,,,,31,,,0,,,0,0,0,0,0,5.9
1739010835,4,1,2025/2/8 18:14,5,14,2,1,0,0,183,1,1,排位赛,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=193687&relaySvrId=601907729&gameseq=1739009459&pvptype=5,0,193687,601907729,1739009459,5,1,16,0,1200,1200,0,0,0,0,0,0,1190,0,0,0,0,0,0,16,荣耀王者,50,,https://camp.qq.com/h5/webdist/team-analyzev2.html?sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&gameseq=1739009459&relaysvrentity=601907729&playerid=1140354248&roleName=elo！躺赢&uniqueRoleId=126973517&roleId=1140354248,smobagamehelper://hippy?modulename=battledetail&toServerId=1086&toAreaId=1&toAppRoleId=126973517&toGameRoleId=1140354248&gameSvrId=193687&relaySvrId=601907729&gameSeq=1739009459&pvpType=5&acntCamp=1&battleType=16,,https://game-1255653016.file.myqcloud.com/manage/custom_wzry_skin_128x128/38ef965b650a7d05b792662d16c02e5b.png,,,,31,,,0,,,0,0,0,0,0,6.4
1739009345,4,2,2025/2/8 17:58,4,11,5,1,0,0,183,2,1,排位赛,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=167043&relaySvrId=872473360&gameseq=1739008566&pvptype=5,0,167043,872473360,1739008566,5,1,16,0,1200,1200,0,0,0,0,0,0,615,0,0,0,0,0,0,16,荣耀王者,49,,https://camp.qq.com/h5/webdist/team-analyzev2.html?sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&gameseq=1739008566&relaysvrentity=872473360&playerid=1140354248&roleName=elo！躺赢&uniqueRoleId=126973517&roleId=1140354248,smobagamehelper://hippy?modulename=battledetail&toServerId=1086&toAreaId=1&toAppRoleId=126973517&toGameRoleId=1140354248&gameSvrId=167043&relaySvrId=872473360&gameSeq=1739008566&pvpType=5&acntCamp=2&battleType=16,,https://game-1255653016.file.myqcloud.com/manage/custom_wzry_skin_128x128/38ef965b650a7d05b792662d16c02e5b.png,,,,31,,,0,,,0,0,0,0,0,7
1739002236,4,1,2025/2/8 15:58,6,5,5,1,1,0,183,1,1,排位赛,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=197341&relaySvrId=-1394597359&gameseq=1739001331&pvptype=5,0,197341,-1394597359,1739001331,5,1,16,0,1200,1200,0,0,0,0,0,0,723,0,1,0,0,0,0,16,荣耀王者,48,实力局,https://camp.qq.com/h5/webdist/team-analyzev2.html?sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&gameseq=1739001331&relaysvrentity=-1394597359&playerid=1140354248&roleName=elo！躺赢&uniqueRoleId=126973517&roleId=1140354248,smobagamehelper://hippy?modulename=battledetail&toServerId=1086&toAreaId=1&toAppRoleId=126973517&toGameRoleId=1140354248&gameSvrId=197341&relaySvrId=-1394597359&gameSeq=1739001331&pvpType=5&acntCamp=1&battleType=16,,https://game-1255653016.file.myqcloud.com/manage/custom_wzry_skin_128x128/38ef965b650a7d05b792662d16c02e5b.png,,,https://camp.qq.com/battle/common/mvpV3/mvp.png,31,,,0,,,0,0,0,0,0,9.8
1739000435,4,2,2025/2/8 15:23,4,8,4,1,0,0,183,2,1,排位赛,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=146717&relaySvrId=1593852704&gameseq=1738999271&pvptype=5,0,146717,1593852704,1738999271,5,1,16,0,1200,1200,0,0,0,0,0,0,998,0,1,0,0,0,0,16,荣耀王者,47,,https://camp.qq.com/h5/webdist/team-analyzev2.html?sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&gameseq=1738999271&relaysvrentity=1593852704&playerid=1140354248&roleName=elo！躺赢&uniqueRoleId=126973517&roleId=1140354248,smobagamehelper://hippy?modulename=battledetail&toServerId=1086&toAreaId=1&toAppRoleId=126973517&toGameRoleId=1140354248&gameSvrId=146717&relaySvrId=1593852704&gameSeq=1738999271&pvpType=5&acntCamp=2&battleType=16,,https://game-1255653016.file.myqcloud.com/manage/custom_wzry_skin_128x128/38ef965b650a7d05b792662d16c02e5b.png,,,,31,,,0,,,0,0,0,0,0,5.8
